                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7941,                 6.2979,                 1.3299,                      0,                      0,                      0,                      0,                      0,                 8.1127,                      0,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.0815,                 8.5697,                 1.3087,                      0,                      0,                      0,                      0,                      0,                 8.1482,                      0,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                 2.0698,                 6.8333,                  1.296,                      0,                      0,                      0,                      0,                      0,                 8.1738,                      0,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 2.2048,                 7.2618,                 1.2421,                      0,                      0,                      0,                      0,                      0,                  8.171,                      0,             0.00013168,             0.00013168,             0.00013168
                      5,                 1.4986,                 5.4854,                 1.0626,                      0,                      0,                      0,                      0,                      0,                 8.1731,                      0,             0.00016574,             0.00016574,             0.00016574
                      6,                 1.2602,                 8.1545,                0.97995,                      0,                      0,                      0,                      0,                      0,                 8.1861,                      0,             0.00019822,             0.00019822,             0.00019822
                      7,                  1.392,                 5.6774,                 1.0246,                      0,                      0,                      0,                      0,                      0,                 8.2049,                      0,             0.00022911,             0.00022911,             0.00022911
                      8,                 1.7174,                 5.6572,                 1.0591,                      0,                      0,                      0,                      0,                      0,                  8.231,                      0,             0.00025842,             0.00025842,             0.00025842
                      9,                 1.7095,                 6.0263,                  1.178,                      0,                      0,                      0,                      0,                      0,                 8.2399,                      0,             0.00028614,             0.00028614,             0.00028614
                     10,                 1.6333,                 5.0537,                 1.0034,                      0,                      0,                      0,                      0,                      0,                 8.2266,                      0,             0.00031228,             0.00031228,             0.00031228
                     11,                 1.6979,                 5.6626,                 1.0229,                      0,                      0,                      0,                      0,                      0,                  8.187,                      0,             0.00033684,             0.00033684,             0.00033684
                     12,                 1.5132,                 5.2444,                0.97109,                      0,                      0,                      0,                      0,                      0,                  8.187,                      0,             0.00035981,             0.00035981,             0.00035981
                     13,                 1.7234,                 5.8031,                 1.0659,                      0,                      0,                      0,                      0,                      0,                 8.1267,                      0,              0.0003812,              0.0003812,              0.0003812
                     14,                 2.0472,                 6.0771,                  1.162,                      0,                      0,                      0,                      0,                      0,                 8.0682,                      0,               0.000401,               0.000401,               0.000401
                     15,                 1.7884,                 5.3195,                0.97315,                      0,                      0,                      0,                      0,                      0,                 8.0682,                      0,             0.00041922,             0.00041922,             0.00041922
                     16,                 1.6923,                 6.2226,                 1.0923,                      0,                      0,                      0,                      0,                      0,                   7.99,                      0,             0.00043586,             0.00043586,             0.00043586
                     17,                 1.6338,                  3.983,                  1.113,                      0,                      0,                      0,                      0,                      0,                 7.9342,                      0,             0.00045091,             0.00045091,             0.00045091
                     18,                 2.0133,                  5.027,                 1.1235,                      0,                      0,                      0,                      0,                      0,                 7.9342,                      0,             0.00046438,             0.00046438,             0.00046438
                     19,                 1.6932,                 4.5905,                 1.0201,                      0,                      0,                      0,                      0,                      0,                 7.8285,                      0,             0.00047626,             0.00047626,             0.00047626
                     20,                 1.8785,                 4.7138,                 1.0076,                      0,                      0,                      0,                      0,                      0,                 7.8285,                      0,             0.00048656,             0.00048656,             0.00048656
